07/25/2017                                                                Dynamic List Display                                                                        1


	Order	Material	Order Type	MRP ctrlr	Pr.Superv.	Plant	Target qty	Unit	Bsc start	Basic fin.	Act. Start	Act.finish	Release	Release	Act.finish	ActStart

	18270650	30279-0103	ZGRT	K38	K51	2475	        1	EA	10/27/2016	10/28/2016	09/02/2015	05/05/2017	07/23/2015	10/27/2016	00:00:00	06:30:49
	18270656	30279-0106	ZGRT	K38	K51	2475	        1	EA	10/24/2016	10/28/2016	09/02/2015	07/17/2017	07/23/2015	10/24/2016	00:00:00	08:00:30
	19507158	30321-0101	ZP02	K38	K51	2475	        1	EA	09/29/2016	10/10/2016	05/26/2016	07/24/2017	05/26/2016	09/29/2016	00:00:00	09:51:34
	19542492	30321-0101	ZP02	K38	K51	2475	        1	EA	10/04/2016	10/14/2016	06/06/2016	07/21/2017	06/03/2016	10/04/2016	00:00:00	11:11:48
	19786176	30305-0101	ZP02	K38	K63	2475	        1	EA	09/30/2016	10/07/2016	08/01/2016	07/12/2017	07/26/2016	09/30/2016	00:00:00	06:46:47
	160013313	30321-0101	ZP02	K38	K51	2475	        1	EA	10/10/2016	10/18/2016	08/11/2016	07/21/2017	08/09/2016	10/10/2016	00:00:00	06:17:06
	160040057	30305-0101	ZP02	K38	K63	2475	        1	EA	10/21/2016	10/28/2016	08/24/2016	05/12/2017	08/15/2016	10/21/2016	00:00:00	12:02:18
	160093820	30305-0101	ZGRT	K38	K63	2475	        1	EA	09/30/2016	10/06/2016	09/03/2016	05/08/2017	08/25/2016	09/30/2016	00:00:00	05:32:12
	160191524	30321-0101	ZP02	K38	K51	2475	        1	EA	10/19/2016	10/26/2016	09/19/2016	07/21/2017	09/15/2016	10/19/2016	00:00:00	04:41:40
	160311189	30277-1101	ZP02	K38	K63	2475	        1	EA	10/10/2016	10/18/2016	10/12/2016	05/31/2017	10/10/2016	10/10/2016	00:00:00	04:02:16
	160318286	30321-0101	ZP02	K38	K51	2475	        1	EA	10/11/2016	10/20/2016	10/12/2016	05/22/2017	10/11/2016	10/11/2016	00:00:00	04:07:43
	160335033	30321-0101	ZP02	K38	K51	2475	        1	EA	10/14/2016	10/25/2016	10/14/2016	05/22/2017	10/14/2016	10/14/2016	00:00:00	12:53:07
	160356006	30321-0101	ZP02	K38	K51	2475	        1	EA	10/19/2016	10/28/2016	10/19/2016	05/19/2017	10/19/2016	10/19/2016	00:00:00	12:43:14
	160375189	30279-2401-0301	ZRW2	K90	K51	2475	        1	EA	11/24/2016	11/24/2016	02/07/2017	05/17/2017	10/24/2016	11/23/2016	00:00:00	10:41:26
	160426114	30277-1101	ZP02	K38	K63	2475	        1	EA	11/02/2016	11/10/2016	11/03/2016	06/05/2017	11/02/2016	11/02/2016	00:00:00	12:19:38
	160577780	30321-0101	ZP02	K38	K51	2475	        1	EA	11/28/2016	12/07/2016	12/06/2016	05/19/2017	12/05/2016	11/28/2016	00:00:00	05:03:13
