07/25/2017                                                                Dynamic List Display                                                                        1


	Order	Material	Order Type	MRP ctrlr	Pr.Superv.	Plant	Target qty	Unit	Bsc start	Basic fin.	Act. Start	Act.finish	Release	Release	Act.finish	ActStart

	18567911	30277-0402-0201	ZP02	K38	K51	2475	        1	EA	10/25/2016	10/28/2016	10/21/2015		10/19/2015	10/25/2016	00:00:00	09:26:44
	19201981	30321-0401-0101	ZRW2	K17	K51	2475	        1	EA	04/22/2016	04/25/2016	05/16/2016		03/25/2016	04/22/2016	00:00:00	08:02:23
	19338699	30316-2407-0101	ZP02	K38	K63	2475	        9	EA	10/20/2016	10/21/2016	06/13/2016	05/15/2017	04/22/2016	10/20/2016	00:00:00	15:31:45
	160065177	30222-0201	ZP02	K38	K51	2475	        1	EA	01/23/2017	02/03/2017	08/22/2016		08/19/2016	01/23/2017	00:00:00	10:51:40
	160103421	30222-0201	ZP02	K38	K51	2475	        1	EA	01/19/2017	02/03/2017	08/29/2016		08/26/2016	01/19/2017	00:00:00	07:32:28
	160435043	30279-0109	ZP02	K38	K51	2475	        1	EA	11/01/2016	11/09/2016	11/04/2016		11/03/2016	11/01/2016	00:00:00	10:42:55
	160454742	30277-1101	ZP02	K38	K63	2475	        1	EA	11/10/2016	11/17/2016	11/10/2016		11/08/2016	11/10/2016	00:00:00	07:17:16
	160499580	30299-0201	ZP02	K38	K51	2475	        1	EA	11/08/2016	11/15/2016	11/17/2016		11/16/2016	11/08/2016	00:00:00	07:37:47
	160554359	30277-1101	ZP02	K38	K63	2475	        1	EA	11/18/2016	11/29/2016	12/01/2016		11/30/2016	11/18/2016	00:00:00	13:17:02
	160636232	30279-2402-0501	ZRW2	K90	K51	2475	        1	EA	01/16/2017	01/16/2017	05/11/2017		12/16/2016	01/16/2017	00:00:00	12:56:32
	160759624	30277-0402-0201	ZRW2	K38	K51	2475	        1	EA	02/18/2017	02/18/2017			01/18/2017	02/17/2017	00:00:00	00:00:00
	160835902	30305-0401-0101	ZRW2	KA2	K76	2475	        1	EA	03/02/2017	03/02/2017	02/02/2017		02/02/2017	03/02/2017	00:00:00	12:16:53
	160975136	30279-2401-0301	ZRW2	KA2	K51	2475	        1	EA	03/31/2017	04/03/2017	03/03/2017		03/02/2017	03/31/2017	00:00:00	08:16:51
	160981427	30190-0304	ZGRT	K38	K51	2475	        1	EA	03/31/2017	04/03/2017	03/06/2017		03/03/2017	03/31/2017	00:00:00	13:02:07
	161055660	30330-0101	ZP02	K38	K51	2475	        1	EA	03/09/2017	03/27/2017	03/24/2017		03/20/2017	03/09/2017	00:00:00	08:16:23
	161137779	B478-1	ZP02	K38	K51	2475	        1	EA	04/04/2017	04/18/2017	05/08/2017		04/05/2017	04/04/2017	00:00:00	12:56:22
	161137789	30299-0201	ZP02	K38	K51	2475	        1	EA	04/04/2017	04/12/2017	04/17/2017		04/05/2017	04/04/2017	00:00:00	10:46:34
	161160307	30279-0301	ZGRT	K38	K51	2475	        1	EA	04/27/2017	05/10/2017	04/28/2017		04/10/2017	04/27/2017	00:00:00	15:36:30
	161180343	473131-002	ZP02	K38	K51	2475	        1	EA	04/14/2017	05/04/2017	05/01/2017		04/13/2017	04/14/2017	00:00:00	10:56:18
	161188792	30279-2402-0501	ZRW2	KA2	K51	2475	        1	EA	04/14/2017	04/17/2017	04/20/2017		04/17/2017	04/14/2017	00:00:00	05:51:46
	161238142	473131-002	ZGRT	K38	K51	2475	        1	EA	05/23/2017	05/30/2017	04/27/2017		04/27/2017	05/23/2017	00:00:00	09:02:19
	161238190	473131-002	ZGRT	K38	K51	2475	        1	EA	05/15/2017	05/30/2017	04/28/2017		04/28/2017	05/15/2017	00:00:00	11:21:45
	161249097	30305-0101	ZP02	K38	K63	2475	        1	EA	05/02/2017	05/15/2017	05/04/2017		05/01/2017	05/02/2017	00:00:00	11:41:32
	161290951	30305-0101	ZP02	K38	K63	2475	        1	EA	05/09/2017	05/24/2017	05/15/2017		05/09/2017	05/09/2017	00:00:00	13:16:43
	161342273	30279-2401-0301	ZRW2	KA2	K51	2475	        1	EA	06/16/2017	06/19/2017	05/20/2017		05/19/2017	06/16/2017	00:00:00	06:41:40
	161371867	30277-1101	ZP02	K38	K63	2475	        1	EA	05/31/2017	06/08/2017	05/30/2017		05/25/2017	05/31/2017	00:00:00	06:31:46
	161410507	30279-0301	ZP02	K38	K51	2475	        1	EA	06/06/2017	06/21/2017	06/06/2017		06/05/2017	06/06/2017	00:00:00	12:31:51
	161410522	30279-0301	ZP02	K38	K51	2475	        1	EA	06/09/2017	06/22/2017	06/08/2017		06/05/2017	06/09/2017	00:00:00	13:11:49
	161412024	30321-0101	ZP02	K38	K51	2475	        1	EA	06/12/2017	06/20/2017	06/06/2017		06/05/2017	06/12/2017	00:00:00	06:56:54
	161412026	30321-0101	ZP02	K38	K51	2475	        1	EA	06/12/2017	06/20/2017	06/06/2017		06/05/2017	06/12/2017	00:00:00	06:56:54
	161432205	30279-0109	ZP02	K38	K51	2475	        1	EA	06/09/2017	06/28/2017	06/12/2017		06/08/2017	06/09/2017	00:00:00	11:22:15
	161449901	30321-0101	ZGRT	K38	K51	2475	        1	EA	07/07/2017	07/13/2017	06/15/2017		06/13/2017	07/07/2017	00:00:00	11:46:30
	161456394	30279-2401-0301	ZRW2	KA2	K51	2475	        1	EA	07/14/2017	07/14/2017			06/14/2017	07/14/2017	00:00:00	00:00:00
	161467557	B478-1	ZP02	K38	K51	2475	        1	EA	06/16/2017	07/10/2017	06/19/2017		06/16/2017	06/16/2017	00:00:00	12:11:58
	161469107	30130-01	ZP02	K38	K51	2475	        1	EA	06/19/2017	06/28/2017	06/19/2017		06/16/2017	06/19/2017	00:00:00	10:56:44
	161483904	30279-0301	ZP02	K38	K51	2475	        1	EA	06/20/2017	07/05/2017	06/21/2017		06/20/2017	06/20/2017	00:00:00	09:36:35
	161483907	30279-0301	ZP02	K38	K51	2475	        1	EA	06/23/2017	07/11/2017	06/22/2017		06/20/2017	06/23/2017	00:00:00	09:21:57
	161483916	473131-002	ZP02	K38	K51	2475	        1	EA	06/20/2017	07/21/2017	07/07/2017		06/20/2017	06/20/2017	00:00:00	07:26:19
