07/25/2017                     Dynamic List Display                            1


	Order	Work cntr.	User field

	19507158	KIT02000	05/26/2016

	19542492	KIT02000	06/08/2016

	19786176	KIT02000	07/27/2016

	160013313	KIT02000	08/11/2016

	160040057	KIT02000	08/18/2016

	160191524	KIT02000	09/20/2016

	160311189	KIT02000	10/11/2016

	160318286	KIT02000	10/12/2016

	160335033	KIT02000	10/17/2016

	160356006	KIT02000	10/24/2016

	160426114	KIT02000	11/03/2016

	160577780	KIT02000	12/06/2016

	160577781	KIT02000	12/06/2016

	160665361	KIT02000	12/30/2016

	160665371	KIT02000	12/30/2016

	160669089	KIT02000	12/30/2016

	160732531	KIT02000	01/13/2017

	160734308	KIT02000	01/13/2017

	160813638	KIT02000	01/30/2017

	160815191	KIT02000	01/30/2017

	160819295	KIT02000	01/31/2017

	160832692	KIT02000	02/03/2017

	160960682	KIT02000	03/07/2017

	160960689	KIT02000	03/07/2017

	160974719	KIT02000	03/02/2017

	160986726	KIT02000	03/08/2017

	161021977	KIT02000	03/16/2017

	161021990	KIT02000	03/17/2017

	161021994	KIT02000	03/16/2017

	161022001	KIT02000	03/17/2017

	161022005	KIT02000	03/17/2017

	161061660	KIT02000	03/22/2017

	161089041	KIT02000	03/29/2017

	161089042	KIT02000	03/29/2017

	161090419	KIT02000	04/12/2017

	161096501	KIT02000	03/30/2017

	161096550	KIT02000	04/14/2017

	161096551	KIT02000	04/14/2017

	161096558	KIT02000	04/14/2017

	161096645	KIT02000	04/14/2017

	161101228	KIT02000	04/12/2017

	161101231	KIT02000	04/13/2017

	161101233	KIT02000	04/13/2017

	161106024	KIT02000	04/14/2017

	161106041	KIT02000	04/03/2017

	161106045	KIT02000	04/03/2017

	161106047	KIT02000	03/31/2017

	161106053	KIT02000	03/31/2017

	161112058	KIT02000	04/05/2017

	161144095	KIT02000	04/12/2017

	161161149	KIT02000	04/13/2017

	161161151	KIT02000	04/13/2017

	161166333	KIT02000	04/18/2017

	161184280	KIT02000	04/18/2017

	161184286	KIT02000	04/19/2017

	161189337	KIT02000	04/24/2017

	161199808	KIT02000	04/20/2017

	161207089	KIT02000	04/21/2017

	161207091	KIT02000	04/21/2017

	161207114	KIT02000	04/24/2017

	161207116	KIT02000	04/24/2017

	161207118	KIT02000	04/24/2017

	161207124	KIT02000	04/24/2017

	161212661	KIT02000	04/25/2017

	161216148	KIT02000	04/24/2017

	161216151	KIT02000	04/24/2017

	161216153	KIT02000	04/24/2017

	161218080	KIT02000	04/25/2017

	161219018	KIT02000	05/01/2017

	161223135	KIT02000	04/25/2017

	161223138	KIT02000	04/25/2017

	161223139	KIT02000	04/25/2017

	161224612	KIT02000	04/26/2017

	161224614	KIT02000	04/26/2017

	161224617	KIT02000	04/27/2017

	161224630	KIT02000	04/27/2017

	161226044	KIT02000	04/30/2017

	161229682	KIT02000	05/01/2017

	161231246	KIT02000	04/28/2017

	161231258	KIT02000	04/28/2017

	161231271	KIT02000	04/28/2017

	161231282	KIT02000	04/28/2017

	161231318	KIT02000	04/28/2017

	161238149	KIT02000	04/28/2017

	161238153	KIT02000	04/28/2017

	161238158	KIT02000	04/28/2017

	161238238	KIT02000	04/28/2017

	161238241	KIT02000	04/28/2017

	161238321	KIT02000	04/30/2017

	161238324	KIT02000	05/01/2017

	161245502	KIT02000	05/01/2017

	161245505	KIT02000	05/01/2017

	161249098	KIT02000	05/01/2017

	161249100	KIT02000	05/01/2017

	161251319	KIT02000	05/01/2017

	161254790	KIT02000	05/02/2017

	161254791	KIT02000	05/02/2017

	161257291	KIT02000	05/04/2017

	161261499	KIT02000	05/04/2017

	161262428	KIT02000	05/03/2017

	161271753	KIT02000	05/05/2017

	161271775	KIT02000	05/05/2017

	161271777	KIT02000	05/05/2017

	161271779	KIT02000	05/05/2017

	161277171	KIT02000	05/08/2017

	161277174	KIT02000	05/08/2017

	161282081	KIT02000	05/08/2017

	161282087	KIT02000	05/08/2017

	161282089	KIT02000	05/08/2017

	161282121	KIT02000	05/08/2017

	161283795	KIT02000	05/09/2017

	161283801	KIT02000	05/09/2017

	161290944	KIT02000	05/09/2017

	161290952	KIT02000	05/10/2017

	161290955	KIT02000	05/10/2017

	161291024	KIT02000	05/10/2017

	161291028	KIT02000	05/10/2017

	161291029	KIT02000	05/11/2017

	161297894	KIT02000	05/11/2017

	161297898	KIT02000	05/11/2017

	161297906	KIT02000	05/11/2017

	161318118	KIT02000	05/15/2017

	161318120	KIT02000	05/15/2017

	161318833	KIT02000	05/16/2017

	161324212	KIT02000	05/16/2017

	161324219	KIT02000	05/16/2017

	161325724	KIT02000	05/23/2017

	161325730	KIT02000	05/24/2017

	161330681	KIT02000	05/18/2017

	161331986	KIT02000	05/19/2017

	161331987	KIT02000	05/19/2017

	161336853	KIT02000	05/19/2017

	161336953	KIT02000	05/19/2017

	161336957	KIT02000	05/19/2017

	161338397	KIT02000	05/19/2017

	161338399	KIT02000	05/19/2017

	161344031	KIT02000	05/22/2017

	161344067	KIT02000	05/22/2017

	161351759	KIT02000	05/23/2017

	161359771	KIT02000	05/24/2017

	161359781	KIT02000	05/25/2017

	161360884	KIT02000	05/24/2017

	161360918	KIT02000	05/25/2017

	161370016	KIT02000	05/26/2017

	161371822	KIT02000	05/26/2017

	161371848	KIT02000	05/26/2017

	161372567	KIT02000	05/26/2017

	161375982	KIT02000	05/26/2017

	161376736	KIT02000	05/30/2017

	161376740	KIT02000	05/30/2017

	161384873	KIT02000	05/30/2017

	161385875	KIT02000	05/31/2017

	161385876	KIT02000	05/31/2017

	161385891	KIT02000	05/30/2017

	161385894	KIT02000	05/30/2017

	161385926	KIT02000	05/31/2017

	161392348	KIT02000	06/01/2017

	161392349	KIT02000	06/01/2017

	161408870	KIT02000	06/06/2017

	161408877	KIT02000	06/06/2017

	161408882	KIT02000	06/06/2017

	161409087	KIT02000	06/07/2017

