07/25/2017                                                                                                              Dynamic List Display                                                                                                                      1


	Order	Activity	Work cntr.	Operation short text	Op. Qty	Actl Start	Act. start	Act.finish	Act.finish	              Move time	             Queue time	Sys.Status	Duration	                  Setup	User field	User field	              Wait time

	18567911	0004	KIT02000	KITTING	     1		00:00:00		00:00:00	                  0.000	                 16.000	PRT  REL	   20.0	                  5.000	0009113	10/21/2015	                  0.000
	18567911	0005	CMA12000	HUMS MECHANICAL ASSY	     1	10/21/2015	09:26:44	10/21/2015	09:26:44	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	10/21/2015	                  0.000
	18567911	0007	CMQ13000	INPROCESS INSPECTION	     1	10/21/2015	12:51:10	10/21/2015	12:51:10	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	10/21/2015	                  0.000
	18567911	0009	CMA12000	HUMS MECHANICAL ASSY	     1	10/22/2015	03:12:02	10/22/2015	03:12:02	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	10/22/2015	                  0.000
	18567911	0010	CMA11000	HUMS ELECTRICAL ASSY	     1	10/22/2015	08:30:33	10/22/2015	08:30:33	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	10/22/2015	                  0.000
	18567911	0020	CMQ13000	HUMS INSPECTION	     1		00:00:00		00:00:00	                  0.000	                  0.960	PRT  REL	    3.0	                  3.000			                  0.000
	18567911	9999	ZPD9LAST	LAST OPERATION	     1		00:00:00		00:00:00	                  0.000	                  0.000	PRT  REL	    0.0	                  0.000			                  0.000
	19201981	0010	CMA13000	Rework: Troubleshoot	     0	05/16/2016	08:02:23	05/19/2016	12:21:53	                  0.000	                  0.000	PCNF PRT  REL		                  0.000	0009018	05/31/2016	                  0.000
	19201981	0020	CMA11000	RWK ELECTRICAL	     1	05/31/2016	09:17:49	06/02/2016	09:51:29	                  0.000	                  0.000	PCNF REL	    0.0	                  0.000	QOP -271 	06/02/2016	                  0.000
	19201981	0030	CMA13000	RWK TRBLSHT TEST	     1	06/02/2016	14:31:43	06/02/2016	14:31:43	                  0.000	                  0.000	PCNF REL	    0.0	                  0.000	0009018	06/02/2016	                  0.000
	19201981	0040	CMA11000	RWK ELECTRICAL	     1	06/02/2016	09:31:53	06/02/2016	12:46:22	                  0.000	                  0.000	PCNF REL	    0.0	                  0.000	QOP -271 	06/06/2016	                  0.000
	19201981	0050	CMA11000	RWK ELECTRICAL	     1	06/03/2016	07:16:43	06/06/2016	10:15:40	                  0.000	                  0.000	PCNF REL	    0.0	                  0.000	QOP -271 	06/06/2016	                  0.000
	19201981	0060	CMA11000	RWK ELECTRICAL	     1	06/09/2016	06:02:18	06/15/2016	05:37:48	                  0.000	                  0.000	PCNF REL	    0.0	                  0.000	QOP-189	06/09/2016	                  0.000
	19201981	0075	CMA11000	RWK ELECTRICAL	     1	06/15/2016	06:07:13	06/15/2016	07:36:38	                  0.000	                  0.000	PCNF REL	    0.0	                  0.000	QOP-189	06/15/2016	                  0.000
	19201981	0085	CMA11000	RWK ELECTRICAL	     1	06/21/2016	11:41:43	06/21/2016	12:51:46	                  0.000	                  0.000	PCNF REL	    0.0	                  0.000	QOP-189	06/21/2016	                  0.000
	19201981	0095	CMA11000	RWK ELECTRICAL	     1	06/23/2016	08:16:42	06/23/2016	08:16:42	                  0.000	                  0.000	PCNF REL	    0.0	                  0.000	QOP-189	06/23/2016	                  0.000
	19201981	0105	CMA11000	RWK ELECTRICAL	     1	06/30/2016	09:52:00	06/30/2016	09:52:00	                  0.000	                  0.000	PCNF REL	    0.0	                  0.000	QOP -271 	06/30/2016	                  0.000
	19201981	0115	CMA11000	RWK ELECTRICAL	     1	07/05/2016	07:36:45	07/05/2016	07:36:45	                  0.000	                  0.000	PCNF REL	    0.0	                  0.000	QOP -271 	07/05/2016	                  0.000
	19201981	0125	CMA11000	Rework  Electrical	     1	01/20/2017	12:17:02	07/17/2017	08:31:48	                  0.000	                  4.000	PCNF REL	    0.0	                  0.000	QOP -271 	07/17/2017	                  0.000
	19201981	0135	CMA13000	Troubleshoot	     1	07/25/2017	07:36:35	07/25/2017	07:36:35	                  0.000	                  4.000	PCNF REL	    0.0	                  0.000			                  0.000
	19201981	0145	CMQ13000		     1		00:00:00		00:00:00	                  0.000	                  0.960	REL	    0.0	                  0.000			                  0.000
	19338699	0010	CMA13000	HUMS TEST	     9	06/13/2016	15:31:45	06/29/2016	14:14:38	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-714	06/15/2016	                  0.000
	19338699	0011	CMA13000	HUMS TEST	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	    0.0	                  0.000	DIS-712	06/29/2016	                  0.000
	19338699	0012	CMA11000	REWORK HUMS ELECTRICAL	     1	06/29/2016	11:56:42	06/29/2016	11:56:42	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP -271 	06/29/2016	                  0.000
	19338699	0013	CMA11000	REWORK HUMS ELECTRICAL	     1	07/06/2016	12:01:35	07/06/2016	12:01:35	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000			                  0.000
	19338699	0019	CMA13000	REWORK HUMS TEST T/S	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	    0.0	                  0.000			                  0.000
