
	External Long Material Number	Plnt	SLoc	BUn	      Unrestricted	           Blocked

	30190-0404-0101	2475	HUM0	EA	                2	                0
	30190-1410-0301	2475	HUM0	EA	                1	                0
	30277-0402-0201	2475	HUM4	EA	               16	                0
	30277-1101	2475	RNN1	EA	                1	                0
	30279-0105	2475	SHP5	EA	                1	                0
	30279-0106	2475	RNN1	EA	                1	                0
	30279-0301	2475	RNN1	EA	                1	                0
	30279-0404-0306	2475	HUM0	EA	                9	                0
	30279-1410-0301	2475	HUM0	EA	                8	                0
	30279-2401-0301	2475	HUM0	EA	                2	                0
	30279-2402-0501	2475	HUM0	EA	                4	                0
	30305-0401-0101	2475	HUM4	EA	               15	                0
	30316-2407-0101	2475	HUM0	EA	                2	                0
	30321-0401-0101	2475	HUM0	EA	               16	                0
	473001	2475	SHP5	EA	                4	                0
	B478-1	2475	SHP5	EA	                2	                0
