07/25/2017                                                                    Dynamic List Display                                                                           1

07/25/2017			                                                            Serial Numbers Assigned to Deliveries											  1

Serial Numbers Assigned to Deliveries

	DlvTy	Material		Delivery quantity	SU	Plnt	SLoc	Batch	Serial number	Ac.GI date	TRKID#	Forwarding agent tracking ID	Material Description

	ZLF	30305-0101		               1	EA	2475	SHP5	0016731776	0836	04/21/2017	722958607141		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	472147-001		               1	EA	2475	SHP5	0015762262	4208	04/19/2017	1ZA85F580392509492		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	472147-001		               1	EA	2475	SHP5	0015412374	4202	04/19/2017	1ZA85F580392509492		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	472147-001		               1	EA	2475	SHP5	0015426564	4206	04/19/2017	1ZA85F580392509492		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	472147-001		               1	EA	2475	SHP5	0015399866	4200	04/19/2017	1ZA85F580392509492		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	472147-001		               1	EA	2475	SHP5	0015412432	4204	04/19/2017	1ZA85F580392509492		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	472147-001		               1	EA	2475	SHP5	0015762261	4209	04/19/2017	1ZA85F580392509492		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	472147-001		               1	EA	2475	SHP5	0016179778	4210	04/19/2017	1ZA85F580392509492		LIQ LEV CON  MC AIR F-15 F-18 E/F
	ZLF	30279-0301		               1	EA	2475	RNN1	0015915151	B942-01513	04/25/2017	114666970632966		IVHMU  SN B942-01513
	ZLF	30305-0101		               1	EA	2475	SHP5	0016579257	0828	04/04/2017	722958592112		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0016588190	0834	04/04/2017	722958592101		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30130-01		               1	EA	2475	SHP5	0016424942	0980	04/04/2017	114666970629058		LIQ LEV CONTROL UNIT MCAIR F-18
	ZLF	30130-01		               1	EA	2475	SHP5	0016473068	0981	04/04/2017	114666970629058		LIQ LEV CONTROL UNIT MCAIR F-18
	ZLF	473001		               1	EA	2475	SHP5	0016230158	1763	04/06/2017	722958594332		LIQ LEVEL CONT  MC AIR F-15 C D
	LR	30279-0301		               1	EA	2475	RNN1	0016841792	B942-01453	04/07/2017			VEHICLE HEALTH MANAGEMENT UNIT
	LR	30279-0301		               1	EA	2475	RNN1	0016842196	B942-01475	04/07/2017			VEHICLE HEALTH MANAGEMENT UNIT
	LR	30279-0301		               1	EA	2475	RNN1	0016841410	B942-01105	04/07/2017			VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	RNN1	0014841226	0677	04/10/2017	722958596232		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30321-0101		               1	EA	2475	SHP5	0016580452	01595	04/11/2017	722958597397		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0016580453	01594	04/11/2017	722958597397		MODULE REMOTE SENSOR INTERFACE
	ZLF	30279-0301		               1	EA	2475	SHP5	0016694741	B942-01623	04/12/2017	114666970630870		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30277-1101		               1	EA	2475	SHP5	0016775328	00897	04/13/2017	722958600537		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30277-1101		               1	EA	2475	SHP5	0016775312	00896	04/13/2017	722958600537		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30279-0301		               1	EA	2475	SHP5	0016767575	B942-01624	04/12/2017	114666970630986		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	RNN1	0006556731	B942-01082	04/14/2017	hand		SN 01082 IVHMU
	ZLF	30277-1101		               1	EA	2475	SHP5	0016775344	00898	04/18/2017	722958604164		ELECTRONIC CONTROL UNIT JSF-WBDDS
	NL	30321-0101		               1	EA	2475	SHP5	0016580449	01593	04/11/2017			MODULE REMOTE SENSOR INTERFACE
	ZLF	30279-0301		               1	EA	2475	RNN1	0016424205	B942-01577	04/14/2017	hand		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30277-1101		               1	EA	2475	SHP5	0016776147	00899	04/19/2017	722958605517		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30279-0301		               1	EA	2475	SHP5	0016808508	B942-01627	04/17/2017	114666970631655		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30279-0301		               1	EA	2475	SHP5	0016767722	B942-01625	04/17/2017	114666970631679		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30321-0101		               1	EA	2475	SHP5	0014463140	01316	04/14/2017	114666970631228		MODULE REMOTE SENSOR INTERFACE
	ZLF	30279-0301		               1	EA	2475	SHP5	0016671502	B942-01619	04/14/2017	114666970631280		VEHICLE HEALTH MANAGEMENT UNIT
	NL	472147-001		               1	EA	2475	SHP5	0016201195	4212	04/14/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016201197	4213	04/14/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016201192	4214	04/14/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016201193	4215	04/14/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016201190	4216	04/14/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016201194	4217	04/14/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016216071	4218	04/14/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016216070	4220	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016216072	4221	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
	NL	472147-001		               1	EA	2475	SHP5	0016216068	4222	04/17/2017			LIQ LEV CON  MC AIR F-15 F-18 E/F
