07/25/2017                     Dynamic List Display                            1

Monthly detailed customer shipment report

	ShpCmplDte	Shipped Quantity	Cust Req Date	Material	      Price	Curr.

	04/04/2017	              1	04/14/2017	30305-0101	 17,819.00	USD
	04/04/2017	              1	04/14/2017	30305-0101	 17,819.00	USD
	04/20/2017	              1	04/21/2017	30305-0101	 17,819.00	USD
	04/20/2017	              1	04/21/2017	30305-0101	 17,819.00	USD
	04/21/2017	              1	04/21/2017	30305-0101	 17,819.00	USD
	04/21/2017	              1	04/21/2017	30305-0101	 17,819.00	USD
	04/26/2017	              1	04/27/2017	30305-0101	 17,819.00	USD
	04/26/2017	              1	04/27/2017	30305-0101	 17,819.00	USD
	04/28/2017	              1	05/08/2017	30305-0101	 17,819.00	USD
	05/03/2017	              1	05/08/2017	30305-0101	 17,819.00	USD
	05/08/2017	              1	05/08/2017	30305-0101	 17,819.00	USD
	05/08/2017	              1	05/08/2017	30305-0101	 17,819.00	USD
	05/12/2017	              1	05/08/2017	30305-0101	 17,819.00	USD
	05/12/2017	              1	05/08/2017	30305-0101	 17,819.00	USD
	05/12/2017	              2	05/12/2017	30305-0101	 17,819.00	USD
	05/12/2017	              1	05/12/2017	30305-0101	 17,819.00	USD
	05/17/2017	              1	05/12/2017	30305-0101	 17,819.00	USD
	05/17/2017	              1	05/17/2017	30305-0101	 17,819.00	USD
	05/18/2017	              1	05/19/2017	30305-0101	 17,819.00	USD
	05/18/2017	              1	05/19/2017	30305-0101	 17,819.00	USD
	05/18/2017	              1	05/19/2017	30305-0101	 17,997.19	USD
	05/18/2017	              1	05/19/2017	30305-0101	 17,997.19	USD
	05/19/2017	              1	05/22/2017	30305-0101	 17,819.00	USD
	05/19/2017	              1	05/25/2017	30305-0101	 17,997.19	USD
	05/24/2017	              1	05/25/2017	30305-0101	 17,997.19	USD
	05/24/2017	              1	05/26/2017	30305-0101	 17,997.19	USD
	05/24/2017	              1	05/26/2017	30305-0101	 17,997.19	USD
	05/24/2017	              1	06/01/2017	30305-0101	 17,997.19	USD
	05/26/2017	              1	06/01/2017	30305-0101	 17,997.19	USD
	05/26/2017	              1	06/07/2017	30305-0101	 17,997.19	USD
	05/30/2017	              1	06/07/2017	30305-0101	 17,819.00	USD
	05/30/2017	              1	06/12/2017	30305-0101	 17,819.00	USD
	06/02/2017	              1	06/12/2017	30305-0101	 17,819.00	USD
	06/05/2017	              1	06/16/2017	30305-0101	 17,819.00	USD
	06/06/2017	              1	06/16/2017	30305-0101	 17,819.00	USD
	06/07/2017	              1	06/20/2017	30305-0101	 17,997.18	USD
	06/07/2017	              1	06/20/2017	30305-0101	 17,997.18	USD
	06/07/2017	              1	06/21/2017	30305-0101	 17,819.00	USD
	06/07/2017	              1	06/21/2017	30305-0101	 17,819.00	USD
	06/07/2017	              1	06/28/2017	30305-0101	 17,819.00	USD
	06/07/2017	              1	06/28/2017	30305-0101	 17,997.19	USD
	06/12/2017	              1	07/10/2017	30305-0101	 17,997.19	USD
	06/15/2017	              1	07/10/2017	30305-0101	 17,997.19	USD
	06/16/2017	              2	07/13/2017	30305-0101	 17,997.19	USD
	06/19/2017	              1	07/15/2017	30305-0101	 17,997.19	USD
	06/22/2017	              1	07/15/2017	30305-0101	 17,997.19	USD
	06/26/2017	              1	07/19/2017	30305-0101	 17,997.19	USD
	06/26/2017	              1	07/19/2017	30305-0101	 17,997.19	USD
	06/27/2017	              1	07/24/2017	30305-0101	 17,997.19	USD
	06/29/2017	              1	07/24/2017	30305-0101	 17,997.19	USD
	07/07/2017	              1	07/28/2017	30305-0101	 17,997.19	USD
	07/07/2017	              1	07/28/2017	30305-0101	 17,997.19	USD
	07/12/2017	              1	08/02/2017	30305-0101	 17,997.19	USD
	07/17/2017	              1	08/02/2017	30305-0101	 17,997.19	USD
	04/11/2017	              2	04/10/2017	30321-0101	  8,002.68	USD
	04/14/2017	              1	05/08/2017	30321-0101	  8,002.68	USD
	04/28/2017	              1	05/08/2017	30321-0101	  8,002.68	USD
	04/28/2017	              1	05/08/2017	30321-0101	  8,002.68	USD
	04/28/2017	              1	05/08/2017	30321-0101	  8,002.68	USD
	04/28/2017	              1	05/08/2017	30321-0101	  8,002.68	USD
	04/28/2017	              1	05/08/2017	30321-0101	  8,002.68	USD
	04/28/2017	              1	05/08/2017	30321-0101	  8,002.68	USD
	04/28/2017	              1	05/08/2017	30321-0101	  8,002.68	USD
	04/28/2017	              1	05/08/2017	30321-0101	  8,002.68	USD
	04/28/2017	              1	05/08/2017	30321-0101	  8,002.68	USD
	04/28/2017	              1	05/08/2017	30321-0101	  8,002.68	USD
	04/28/2017	              1	05/08/2017	30321-0101	  8,002.68	USD
